Gabe Dunn
Asher Jelinsky
John Cameron Mitchell
Ben O'Brien
Kimberly Peirce
Jane Schoenbrun
Joey Soloway
Rebecca Sugar
Skyler Cooper
Rhys Ernst
Sam Feder
StormMiguel Florez
Yance Ford
Jake Graf
Silas Howard
Sir Lex Kennedy
Seven King
Emmett Lundberg
AJ Mattioli
Elliot Page
Campbell X
Raven Two Feathers
M. J. Bassett
Lucy Belgum
Zackary Drucker
Sydney Freeland
ND Johnson
Selene Kapsaski
Nava Mau
Janet Mock
Kimberly Reed
Isabel Sandoval
D. Smith
Tourmaline
Wu Tsang
Rain Valdez
Lana Wachowski
Lilly Wachowski
Kasia Adamik
Jane Anderson
Sini Anderson
Chantal Akerman
Dorothy Arzner
Jamie Babbit
Marina Rice Bader
Christin Baker
Janet Baus
Sadie Benning
Caroline Berler
Katja Blichfeld
Maureen Bradley
Netalie Braun
Katherine Brooks
Dominique Cardona
Ilene Chaiken
Lisa Cholodenko
Zero Chou
Laurie Colbert
Janis Cole
Nicole Conn
Catherine Corsini
Jeanne Crépeau
Catherine Crouch
Holly Dale
Donna Deitch
Katrina del Mar
Vicky Du
Cheryl Dunye
Clea DuVall
Michelle Ehlen
Esther Eng
Lynne Fernie
Jodie Foster
Su Friedrich
Maya Gallus
Nisha Ganatra
Dana Goldberg
Rosser Goodman
Marleen Gorris
Aurora Guerrero
Sonali Gulati
Jill Gutowitz
Barbara Hammer
Leslye Headland
G. B. Jones
Ingrid Jungermann
Ana Kokkinos
Jennie Livingston
Desiree Lim
Phyllida Lloyd
Tucia Lyman
Aldis Hodge
Allen Hughes
Amma Asante
Ava DuVernay
Bill Duke
Barry Jenkins
Billy Woodberry
Bradford Young
Carl Franklin
Charles Burnett
Charles Stone III
Clark Johnson
Cyrus Nowrasteh
D. Channsin Berry
Daresha Kyi
Darnell Martin
Dash Mihok
David Oyelowo
Dawn Wilkinson
DeMane Davis
Dee Rees
Denzel Washington
Dianne Houston
Ernest Dickerson
F. Gary Gray
Forest Whitaker
Gina Prince-Bythewood
Gordon Parks
Haile Gerima
Hanelle M. Culpepper
Idris Elba
Issa Rae
Jamal Joseph
James Baldwin
James Earl Jones
Jamie Foxx
Jay Duplass
John Singleton
Jordan Peele
Julie Dash
Justin Simien
Kasi Lemmons
Kevin Hooks
Keenen Ivory Wayans
Kenny Leon
King Bach
Kiri Davis
Kyla Pratt
Lacey Schwartz
Lee Daniels
Leslie Harris
Malcolm D. Lee
Mara Brock Akil
Mario Van Peebles
Marlon Riggs
Martin Lawrence
Matty Rich
Melvin Van Peebles
Michael Schultz
Nnegest Likké
Nzingha Stewart
Oscar Micheaux
Oz Scott
Pam Grier
Preston A. Whitmore II
Reginald Hudlin
Robert Downey Sr.
Robert Townsend
Rob Hardy
Rusty Cundieff
Salim Akil
Sheldon Epps
Shola Lynch
Sidney Poitier
Snoop Dogg
Spencer Williams
Spike Lee
