id,title,original_language,overview,poster_path,genre_ids,popularity,release_date,vote_average,vote_count
979342,Grindr Baby,en,A non-monogamous queer couple grapples with a pregnancy test after one of them has an unprotected one night stand. Knocked Up but if Seth Rogen was pregnant.,/x9KRyZ9N5onMoJp0bczel2yBtgy.jpg,[35],0.633,2022-06-18,0.0,0
632250,Miller & Son,en,"A transwoman mechanic lives between running her family’s auto shop during the day and expressing her femininity at night, until an unforeseen event threatens the delicate balance.",/whryw08CfWOhoVXRApYFiqHtgq2.jpg,[18],1.352,2019-04-14,6.4,7
987923,Young Adult,en,"On the last day of a summer camp for persons with disabilities, a teenage girl fights to connect the boy that might be the love of her life.",/A8g8rTSpdDKvKC1Y5zgf2NnwaD2.jpg,[18],0.846,2017-01-01,0.0,0
13403,Hedwig and the Angry Inch,en,"Raised a boy in East Berlin, Hedwig undergoes a personal transformation in order to emigrate to the U.S., where she reinvents herself as an “internationally ignored” but divinely talented rock diva, inhabiting a “beautiful gender of one.”",/jafIFAW8sHQkzWPGoMDR4892dFI.jpg,"[35, 10402, 18]",12.394,2001-07-20,7.4,347
33762,Band of the Hand,en,An Indian Vietnam veteran trains five street punks in the Everglades to fight vice in Miami.,/tkeECMVzEBC9TijuTlN8dZ1SX8G.jpg,[28],9.497,1986-04-11,6.5,49
341689,How to Talk to Girls at Parties,en,"In 1970s London, a teenage outsider named Enn falls in love with a rebellious alien girl named Zan, who has come to Earth for a party. Together, they navigate the complexities of intergalactic culture and the trials of first love.",/v6mPfyGshwXd1R6kQlMEyZ8Zu2s.jpg,"[35, 10402, 10749, 878]",12.24,2017-10-06,6.039,355
286217,The Martian,en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,"[18, 12, 878]",52.79,2015-09-30,7.683,18886
59860,Monte Carlo,en,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,/dcbqyycrWA56HXq5lm41HYuED8Y.jpg,"[12, 35, 10749]",28.983,2011-07-01,6.564,2026
14245,Sniper 2,en,"A former Marine sniper is lured back in on a top-secret mission to take out a rogue general accused of running a stealth operation of hit-and-run ethnic cleansing missions in an area known as ""No Man's Land.""",/dmHfc2h9bpCFOloUj54jntM0c9L.jpg,[28],16.172,2002-12-28,5.39,132
133805,Carrie,en,"A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",/kloXz9qwO23z9Kbt3z3MgnjF4xO.jpg,"[18, 27]",22.806,2013-10-16,6.029,4273
226,Boys Don't Cry,en,A young transgender man explores his gender identity and searches for love in rural Nebraska.,/nKXTgbruSrezC1tAeKB6Ri7cGkK.jpg,"[80, 18]",17.397,1999-09-02,7.437,1232
776501,We're All Going to the World's Fair,en,"Reality and fantasy begin to blur when a teenager, alone in her attic bedroom, immerses herself in a role-playing horror game online.",/fXn4Nz1WCTEmzAFvwgEZoPHvptR.jpg,"[18, 27]",9.699,2022-04-15,5.38,79
530074,A Self-Induced Hallucination,en,"It's about the internet, and it's quite strange.",/2xAnDV5X6cDPCfQMNTQFGGf1dHC.jpg,[99],1.165,2019-01-25,5.0,1
